EnrollmentID,EnrollDate,QuizScore,EmployeeID,CourseID
1,2021-11-02 05:30:00+05:30,93.69,2,17
2,2024-04-25 05:30:00+05:30,17.23,477,32
3,2020-01-01 05:30:00+05:30,99.06,182,79
4,2021-08-24 05:30:00+05:30,,932,68
5,2022-11-05 05:30:00+05:30,10.67,147,70
6,2023-06-04 05:30:00+05:30,45.26,384,41
7,2021-10-24 05:30:00+05:30,15.58,384,89
8,2023-07-15 05:30:00+05:30,98.28,742,97
9,2020-12-12 05:30:00+05:30,,759,51
10,2020-04-11 05:30:00+05:30,47.82,439,89
11,2022-10-16 05:30:00+05:30,15.39,713,81
12,2020-12-03 05:30:00+05:30,,656,79
13,2024-05-12 05:30:00+05:30,28.57,238,62
14,2023-10-13 05:30:00+05:30,5.2,365,36
15,2022-06-10 05:30:00+05:30,96.42,118,25
16,2023-09-17 05:30:00+05:30,68.47,932,88
17,2023-12-01 05:30:00+05:30,92.82,62,24
18,2023-04-21 05:30:00+05:30,65.2,826,43
19,2020-08-27 05:30:00+05:30,,683,9
20,2023-08-24 05:30:00+05:30,28.82,480,29
21,2020-12-21 05:30:00+05:30,45.57,888,19
22,2021-09-03 05:30:00+05:30,8.4,80,100
23,2024-09-09 05:30:00+05:30,17.76,604,99
24,2022-07-02 05:30:00+05:30,14.81,433,22
25,2021-04-05 05:30:00+05:30,46.45,447,69
26,2022-03-19 05:30:00+05:30,51.44,627,32
27,2023-02-09 05:30:00+05:30,32.62,351,19
28,2021-07-11 05:30:00+05:30,93.16,926,64
29,2021-09-08 05:30:00+05:30,33.14,719,74
30,2024-09-09 05:30:00+05:30,,259,21
31,2020-03-04 05:30:00+05:30,85.86,546,9
32,2021-08-29 05:30:00+05:30,87.08,295,38
33,2024-07-29 05:30:00+05:30,65.31,971,12
34,2022-06-03 05:30:00+05:30,75.05,769,48
35,2022-02-12 05:30:00+05:30,89.38,854,25
36,2023-03-16 05:30:00+05:30,47.29,838,91
37,2023-09-14 05:30:00+05:30,22.17,677,3
38,2023-07-22 05:30:00+05:30,55.92,765,84
39,2024-08-04 05:30:00+05:30,64.54,426,33
40,2022-02-10 05:30:00+05:30,,769,21
41,2022-05-25 05:30:00+05:30,86.09,555,34
42,2023-10-21 05:30:00+05:30,,327,8
43,2023-12-23 05:30:00+05:30,23.25,958,6
44,2022-12-24 05:30:00+05:30,89.86,318,36
45,2020-11-19 05:30:00+05:30,,716,34
46,2020-01-25 05:30:00+05:30,51.81,785,91
47,2022-12-13 05:30:00+05:30,60.66,658,84
48,2024-08-14 05:30:00+05:30,17.76,200,81
49,2024-03-21 05:30:00+05:30,,985,68
50,2022-07-03 05:30:00+05:30,33.84,847,26
51,2021-10-17 05:30:00+05:30,71.84,464,39
52,2022-05-21 05:30:00+05:30,93.97,485,94
53,2022-08-06 05:30:00+05:30,63.41,203,82
54,2022-02-01 05:30:00+05:30,66.91,56,99
55,2022-12-30 05:30:00+05:30,55.78,246,77
56,2021-04-03 05:30:00+05:30,66.63,938,14
57,2021-10-23 05:30:00+05:30,11.28,468,26
58,2022-04-12 05:30:00+05:30,40.37,821,80
59,2020-01-21 05:30:00+05:30,1.64,604,71
60,2020-09-18 05:30:00+05:30,61.28,437,30
61,2022-08-20 05:30:00+05:30,48.39,371,30
62,2024-02-21 05:30:00+05:30,8.09,440,8
63,2020-09-21 05:30:00+05:30,87.78,344,48
64,2020-07-08 05:30:00+05:30,33.39,758,13
65,2024-03-14 05:30:00+05:30,,703,64
66,2023-09-16 05:30:00+05:30,60.99,709,21
67,2021-11-20 05:30:00+05:30,,520,55
68,2021-09-20 05:30:00+05:30,,718,84
69,2022-06-02 05:30:00+05:30,,944,80
70,2020-12-01 05:30:00+05:30,48.79,299,6
71,2021-02-26 05:30:00+05:30,31.55,278,54
72,2022-04-18 05:30:00+05:30,,740,96
73,2024-02-09 05:30:00+05:30,86.59,853,5
74,2024-09-12 05:30:00+05:30,,875,51
75,2021-06-23 05:30:00+05:30,23.63,589,82
76,2023-11-22 05:30:00+05:30,42.05,616,70
77,2021-09-12 05:30:00+05:30,25.72,543,74
78,2024-02-16 05:30:00+05:30,75.15,137,78
79,2023-02-27 05:30:00+05:30,40.56,684,20
80,2022-12-21 05:30:00+05:30,52.43,928,7
81,2022-07-13 05:30:00+05:30,,776,10
82,2023-08-24 05:30:00+05:30,,393,30
83,2023-06-25 05:30:00+05:30,35.19,172,92
84,2024-02-24 05:30:00+05:30,87.72,86,82
85,2023-11-14 05:30:00+05:30,66.88,524,49
86,2023-06-24 05:30:00+05:30,,798,75
87,2024-07-31 05:30:00+05:30,62.04,864,53
88,2024-01-03 05:30:00+05:30,45.94,606,22
89,2021-04-21 05:30:00+05:30,93.47,908,30
90,2023-09-21 05:30:00+05:30,68.17,487,83
91,2020-07-18 05:30:00+05:30,40.06,732,73
92,2023-06-07 05:30:00+05:30,56.8,929,80
93,2021-09-07 05:30:00+05:30,80.36,322,78
94,2023-12-22 05:30:00+05:30,,396,41
95,2022-07-16 05:30:00+05:30,56.93,977,51
96,2023-10-06 05:30:00+05:30,,426,72
97,2021-01-04 05:30:00+05:30,81.15,173,13
98,2022-10-18 05:30:00+05:30,38.81,903,47
99,2020-09-04 05:30:00+05:30,46.64,8,13
100,2022-08-31 05:30:00+05:30,13.48,695,72
101,2021-05-07 05:30:00+05:30,25.93,674,96
102,2022-10-22 05:30:00+05:30,92.62,232,97
103,2022-03-28 05:30:00+05:30,37.98,595,8
104,2021-12-25 05:30:00+05:30,32.3,651,90
105,2022-07-12 05:30:00+05:30,,546,17
106,2020-01-23 05:30:00+05:30,88.04,584,83
107,2022-02-06 05:30:00+05:30,85.66,596,72
108,2023-11-13 05:30:00+05:30,49.29,54,86
109,2020-09-07 05:30:00+05:30,,259,27
110,2020-01-06 05:30:00+05:30,,42,25
111,2023-06-14 05:30:00+05:30,99.86,421,94
112,2022-03-02 05:30:00+05:30,67.09,383,3
113,2020-06-25 05:30:00+05:30,6.99,634,82
114,2022-03-04 05:30:00+05:30,,181,6
115,2020-08-29 05:30:00+05:30,12.1,55,74
116,2022-04-16 05:30:00+05:30,43.5,940,91
117,2024-07-06 05:30:00+05:30,0.5,384,93
118,2021-04-29 05:30:00+05:30,58.1,649,74
119,2021-02-03 05:30:00+05:30,,862,65
120,2022-09-13 05:30:00+05:30,68.71,650,53
121,2024-08-02 05:30:00+05:30,,668,16
122,2023-08-11 05:30:00+05:30,48.87,754,17
123,2023-02-26 05:30:00+05:30,,963,35
124,2024-05-03 05:30:00+05:30,,595,33
125,2023-04-12 05:30:00+05:30,86.58,369,22
126,2022-08-01 05:30:00+05:30,,927,82
127,2020-04-20 05:30:00+05:30,,810,45
128,2021-09-05 05:30:00+05:30,85.69,665,54
129,2023-11-29 05:30:00+05:30,51.2,454,71
130,2023-04-30 05:30:00+05:30,67.88,288,38
131,2024-07-30 05:30:00+05:30,35.72,157,48
132,2022-04-20 05:30:00+05:30,41.44,255,7
133,2021-08-08 05:30:00+05:30,3.67,34,54
134,2023-10-26 05:30:00+05:30,72.04,602,13
135,2022-08-15 05:30:00+05:30,48.8,832,8
136,2022-11-12 05:30:00+05:30,79.8,573,97
137,2021-05-28 05:30:00+05:30,10.68,309,76
138,2021-03-18 05:30:00+05:30,59.61,851,31
139,2021-03-09 05:30:00+05:30,32.23,31,96
140,2022-12-26 05:30:00+05:30,84.97,569,19
141,2021-03-21 05:30:00+05:30,68.33,528,81
142,2023-08-01 05:30:00+05:30,62.13,280,38
143,2020-11-01 05:30:00+05:30,15.68,947,75
144,2022-11-13 05:30:00+05:30,7.51,803,11
145,2021-03-25 05:30:00+05:30,7.25,706,58
146,2022-06-28 05:30:00+05:30,71.7,576,49
147,2021-06-02 05:30:00+05:30,87.93,914,18
148,2020-09-21 05:30:00+05:30,46.62,714,100
149,2020-06-03 05:30:00+05:30,57.31,62,79
150,2021-01-02 05:30:00+05:30,75.04,108,80
151,2020-04-16 05:30:00+05:30,51.85,79,98
152,2022-02-09 05:30:00+05:30,,601,40
153,2020-04-14 05:30:00+05:30,47.97,305,94
154,2021-07-25 05:30:00+05:30,,559,80
155,2021-08-23 05:30:00+05:30,25.77,732,40
156,2022-11-12 05:30:00+05:30,8.07,436,69
157,2020-04-17 05:30:00+05:30,58.35,803,37
158,2023-03-12 05:30:00+05:30,81.97,105,13
159,2023-01-17 05:30:00+05:30,66.6,32,7
160,2021-09-18 05:30:00+05:30,,120,16
161,2020-12-12 05:30:00+05:30,16.91,853,52
162,2020-12-30 05:30:00+05:30,62.23,756,77
163,2023-01-20 05:30:00+05:30,21.04,738,9
164,2023-02-07 05:30:00+05:30,71.87,66,70
165,2022-05-10 05:30:00+05:30,49.08,538,9
166,2022-05-26 05:30:00+05:30,37.25,500,77
167,2022-11-30 05:30:00+05:30,43.15,672,82
168,2023-11-11 05:30:00+05:30,,974,71
169,2023-10-14 05:30:00+05:30,,770,75
170,2021-01-17 05:30:00+05:30,,658,25
171,2024-02-02 05:30:00+05:30,91.34,765,8
172,2023-04-30 05:30:00+05:30,8.43,332,8
173,2023-01-31 05:30:00+05:30,19.07,973,77
174,2023-03-25 05:30:00+05:30,92.66,798,15
175,2022-05-21 05:30:00+05:30,87.7,949,27
176,2020-03-23 05:30:00+05:30,21.34,61,20
177,2023-01-23 05:30:00+05:30,91.11,51,41
178,2022-05-16 05:30:00+05:30,,259,17
179,2022-08-25 05:30:00+05:30,42.24,672,68
180,2023-01-17 05:30:00+05:30,36.93,641,39
181,2021-01-25 05:30:00+05:30,,879,61
182,2022-10-10 05:30:00+05:30,79.19,8,26
183,2023-04-01 05:30:00+05:30,58.08,149,21
184,2021-10-14 05:30:00+05:30,18.69,637,24
185,2021-12-24 05:30:00+05:30,0.87,787,84
186,2020-11-29 05:30:00+05:30,97.23,36,14
187,2020-08-05 05:30:00+05:30,97.97,917,4
188,2020-08-03 05:30:00+05:30,5.1,276,50
189,2021-05-17 05:30:00+05:30,82.63,342,62
190,2021-04-05 05:30:00+05:30,42.17,317,54
191,2021-02-17 05:30:00+05:30,,789,27
192,2022-02-06 05:30:00+05:30,29.84,736,60
193,2022-11-13 05:30:00+05:30,84.69,97,55
194,2022-09-19 05:30:00+05:30,1.99,768,28
195,2020-12-12 05:30:00+05:30,,947,5
196,2022-09-07 05:30:00+05:30,,145,10
197,2020-05-04 05:30:00+05:30,13.7,519,15
198,2020-06-01 05:30:00+05:30,,588,10
199,2022-11-02 05:30:00+05:30,46.45,923,34
200,2020-02-28 05:30:00+05:30,88.78,447,98
201,2024-08-28 05:30:00+05:30,74.82,931,2
202,2023-03-28 05:30:00+05:30,36.95,603,99
203,2022-06-25 05:30:00+05:30,50.43,101,15
204,2022-04-15 05:30:00+05:30,87.92,468,78
205,2021-06-01 05:30:00+05:30,,641,50
206,2022-12-18 05:30:00+05:30,48.18,570,68
207,2024-05-07 05:30:00+05:30,28.62,36,60
208,2022-08-18 05:30:00+05:30,45.13,180,26
209,2021-04-23 05:30:00+05:30,,129,2
210,2021-06-17 05:30:00+05:30,74.28,701,39
211,2020-12-11 05:30:00+05:30,,482,62
212,2023-05-25 05:30:00+05:30,59.63,100,2
213,2023-08-13 05:30:00+05:30,31.32,390,41
214,2022-11-25 05:30:00+05:30,94.24,472,17
215,2021-02-21 05:30:00+05:30,,661,78
216,2022-07-17 05:30:00+05:30,46.4,571,6
217,2021-05-02 05:30:00+05:30,91.27,227,69
218,2024-05-01 05:30:00+05:30,34.8,133,89
219,2020-03-01 05:30:00+05:30,,828,35
220,2023-11-16 05:30:00+05:30,22.06,565,98
221,2022-01-11 05:30:00+05:30,58.86,913,12
222,2023-05-06 05:30:00+05:30,34.05,199,72
223,2024-01-01 05:30:00+05:30,,190,55
224,2023-07-30 05:30:00+05:30,70.75,586,89
225,2020-01-06 05:30:00+05:30,81.85,532,81
226,2024-09-23 05:30:00+05:30,67.34,116,71
227,2023-08-17 05:30:00+05:30,50.44,983,25
228,2022-09-26 05:30:00+05:30,98.07,378,52
229,2022-12-09 05:30:00+05:30,74.76,454,100
230,2023-11-01 05:30:00+05:30,87.16,633,99
231,2023-02-09 05:30:00+05:30,10.85,378,81
232,2023-10-19 05:30:00+05:30,94.06,383,83
233,2021-01-01 05:30:00+05:30,50.15,529,14
234,2022-11-08 05:30:00+05:30,84.06,747,2
235,2022-08-27 05:30:00+05:30,22.59,205,48
236,2020-06-21 05:30:00+05:30,,609,50
237,2023-04-13 05:30:00+05:30,96.86,504,21
238,2020-01-25 05:30:00+05:30,69.08,304,42
239,2020-08-13 05:30:00+05:30,,260,51
240,2024-01-25 05:30:00+05:30,16.12,860,13
241,2020-08-21 05:30:00+05:30,,258,66
242,2021-03-28 05:30:00+05:30,2.34,77,100
243,2021-09-05 05:30:00+05:30,,539,74
244,2024-03-15 05:30:00+05:30,65.22,387,56
245,2024-09-17 05:30:00+05:30,30.42,973,76
246,2021-10-15 05:30:00+05:30,,203,55
247,2023-12-06 05:30:00+05:30,81.74,812,62
248,2024-04-01 05:30:00+05:30,19.52,318,85
249,2020-04-27 05:30:00+05:30,19.02,460,78
250,2024-04-19 05:30:00+05:30,,214,34
251,2020-05-21 05:30:00+05:30,,699,66
252,2023-07-27 05:30:00+05:30,45.63,449,11
253,2022-05-17 05:30:00+05:30,28.08,482,72
254,2023-07-02 05:30:00+05:30,21.62,582,74
255,2024-08-03 05:30:00+05:30,68.72,528,26
256,2022-01-12 05:30:00+05:30,97.87,677,97
257,2024-03-26 05:30:00+05:30,19.85,842,78
258,2020-06-14 05:30:00+05:30,0.73,162,6
259,2020-09-26 05:30:00+05:30,68.56,403,48
260,2022-09-05 05:30:00+05:30,93.83,252,96
261,2022-05-30 05:30:00+05:30,16.25,400,39
262,2022-11-16 05:30:00+05:30,9.08,346,25
263,2024-05-30 05:30:00+05:30,57.45,359,29
264,2020-01-30 05:30:00+05:30,42.75,315,84
265,2020-11-13 05:30:00+05:30,60.62,90,10
266,2022-08-25 05:30:00+05:30,78.8,678,46
267,2022-04-11 05:30:00+05:30,89.55,880,9
268,2022-05-07 05:30:00+05:30,,979,85
269,2020-06-04 05:30:00+05:30,74.45,699,84
270,2021-12-06 05:30:00+05:30,,3,20
271,2022-07-26 05:30:00+05:30,79.32,380,34
272,2023-09-07 05:30:00+05:30,52.07,555,74
273,2020-02-08 05:30:00+05:30,27.05,703,29
274,2022-05-17 05:30:00+05:30,1.65,466,17
275,2024-03-31 05:30:00+05:30,,925,84
276,2020-03-26 05:30:00+05:30,,595,59
277,2024-05-01 05:30:00+05:30,37.43,855,6
278,2023-05-03 05:30:00+05:30,70.55,6,33
279,2021-12-10 05:30:00+05:30,53.58,236,38
280,2023-07-14 05:30:00+05:30,39.44,941,43
281,2023-11-14 05:30:00+05:30,11.01,796,22
282,2020-05-29 05:30:00+05:30,87.98,590,92
283,2020-07-28 05:30:00+05:30,,111,73
284,2020-05-20 05:30:00+05:30,94.26,375,73
285,2020-04-18 05:30:00+05:30,64.78,179,31
286,2023-10-18 05:30:00+05:30,91.78,369,43
287,2021-11-12 05:30:00+05:30,,681,61
288,2022-10-03 05:30:00+05:30,7.83,86,59
289,2023-12-22 05:30:00+05:30,61.7,413,70
290,2020-04-29 05:30:00+05:30,,202,76
291,2021-09-02 05:30:00+05:30,,901,12
292,2020-10-27 05:30:00+05:30,95.03,706,32
293,2021-04-02 05:30:00+05:30,,919,16
294,2021-07-06 05:30:00+05:30,81.46,972,24
295,2024-02-08 05:30:00+05:30,,941,1
296,2024-09-28 05:30:00+05:30,3.88,224,6
297,2021-07-10 05:30:00+05:30,51.44,11,18
298,2023-01-26 05:30:00+05:30,54.89,899,77
299,2021-03-28 05:30:00+05:30,58.64,765,53
300,2024-03-17 05:30:00+05:30,90.62,84,99
301,2020-10-04 05:30:00+05:30,4.29,664,88
302,2024-06-05 05:30:00+05:30,34.29,327,47
303,2022-12-23 05:30:00+05:30,95.08,700,50
304,2024-01-31 05:30:00+05:30,63.53,859,36
305,2021-01-26 05:30:00+05:30,32.64,87,68
306,2020-09-29 05:30:00+05:30,,5,24
307,2022-11-27 05:30:00+05:30,,280,8
308,2022-08-29 05:30:00+05:30,31.39,701,2
309,2023-04-09 05:30:00+05:30,,135,66
310,2020-01-25 05:30:00+05:30,,71,9
311,2021-10-29 05:30:00+05:30,96.05,381,24
312,2021-10-31 05:30:00+05:30,74.51,522,50
313,2023-02-13 05:30:00+05:30,75.16,794,50
314,2023-03-16 05:30:00+05:30,82.2,557,6
315,2024-08-08 05:30:00+05:30,78.39,74,86
316,2020-09-01 05:30:00+05:30,24.08,580,100
317,2023-05-08 05:30:00+05:30,99.6,820,55
318,2023-07-10 05:30:00+05:30,67.1,827,31
319,2020-05-05 05:30:00+05:30,60.69,587,56
320,2021-12-15 05:30:00+05:30,,730,99
321,2023-01-02 05:30:00+05:30,51.99,890,39
322,2023-03-26 05:30:00+05:30,54.39,485,9
323,2022-12-08 05:30:00+05:30,,226,32
324,2024-07-20 05:30:00+05:30,20.39,812,31
325,2020-08-08 05:30:00+05:30,81.4,316,36
326,2021-09-10 05:30:00+05:30,12.36,513,82
327,2024-04-04 05:30:00+05:30,86.02,530,65
328,2022-06-23 05:30:00+05:30,68.35,226,1
329,2021-02-01 05:30:00+05:30,62.71,495,53
330,2021-12-08 05:30:00+05:30,93.82,912,74
331,2021-01-08 05:30:00+05:30,66.13,428,48
332,2022-07-13 05:30:00+05:30,71.47,958,78
333,2021-08-07 05:30:00+05:30,29.52,223,40
334,2021-05-24 05:30:00+05:30,49.36,102,39
335,2023-09-25 05:30:00+05:30,33.97,516,67
336,2023-02-20 05:30:00+05:30,26.35,458,100
337,2020-05-23 05:30:00+05:30,86.19,123,20
338,2023-10-25 05:30:00+05:30,19.94,881,88
339,2022-03-14 05:30:00+05:30,78.16,76,74
340,2022-09-22 05:30:00+05:30,0.5,50,44
341,2024-06-28 05:30:00+05:30,89.24,616,83
342,2022-06-09 05:30:00+05:30,28.48,315,19
343,2023-06-02 05:30:00+05:30,19.74,665,57
344,2022-04-30 05:30:00+05:30,14.21,146,66
345,2023-04-11 05:30:00+05:30,94.53,595,2
346,2021-01-26 05:30:00+05:30,92.32,497,60
347,2024-08-17 05:30:00+05:30,,674,29
348,2023-03-18 05:30:00+05:30,35.94,321,89
349,2023-10-01 05:30:00+05:30,23.53,21,65
350,2022-10-17 05:30:00+05:30,89.38,74,26
351,2024-05-13 05:30:00+05:30,82.71,342,33
352,2020-04-17 05:30:00+05:30,33.41,17,9
353,2021-07-25 05:30:00+05:30,39.73,531,85
354,2023-10-09 05:30:00+05:30,1.48,898,52
355,2024-09-23 05:30:00+05:30,7.33,672,32
356,2023-04-16 05:30:00+05:30,67.1,584,11
357,2024-09-01 05:30:00+05:30,88.46,188,79
358,2021-06-19 05:30:00+05:30,76.96,505,44
359,2021-07-20 05:30:00+05:30,96.43,404,13
360,2020-02-28 05:30:00+05:30,55.72,908,5
361,2023-01-10 05:30:00+05:30,,938,6
362,2020-04-02 05:30:00+05:30,71.87,44,40
363,2022-09-03 05:30:00+05:30,14.52,17,45
364,2020-02-11 05:30:00+05:30,15.87,683,93
365,2024-10-03 05:30:00+05:30,,154,99
366,2022-02-10 05:30:00+05:30,2.83,308,65
367,2020-05-22 05:30:00+05:30,70.01,70,15
368,2023-01-11 05:30:00+05:30,61.01,987,81
369,2020-12-09 05:30:00+05:30,27.24,699,92
370,2020-10-20 05:30:00+05:30,,63,89
371,2024-02-18 05:30:00+05:30,67.14,18,85
372,2021-09-05 05:30:00+05:30,,64,84
373,2024-02-19 05:30:00+05:30,52.03,359,8
374,2023-02-11 05:30:00+05:30,,390,17
375,2020-09-05 05:30:00+05:30,,327,33
376,2023-12-28 05:30:00+05:30,71.67,856,71
377,2020-11-21 05:30:00+05:30,20.34,421,62
378,2023-11-14 05:30:00+05:30,,122,98
379,2024-04-28 05:30:00+05:30,74.39,334,21
380,2021-03-17 05:30:00+05:30,35.06,465,37
381,2020-01-05 05:30:00+05:30,42.83,46,62
382,2020-06-10 05:30:00+05:30,12.06,698,79
383,2020-07-16 05:30:00+05:30,,358,29
384,2021-03-16 05:30:00+05:30,3.59,610,64
385,2023-10-18 05:30:00+05:30,80.89,176,1
386,2020-04-01 05:30:00+05:30,67.27,284,5
387,2024-07-17 05:30:00+05:30,,477,21
388,2023-10-13 05:30:00+05:30,66.32,577,62
389,2020-11-16 05:30:00+05:30,19.02,824,52
390,2024-06-10 05:30:00+05:30,,265,50
391,2022-03-23 05:30:00+05:30,71.59,768,47
392,2021-08-28 05:30:00+05:30,32.49,455,74
393,2020-04-13 05:30:00+05:30,,158,74
394,2020-01-10 05:30:00+05:30,19.64,403,24
395,2020-07-16 05:30:00+05:30,99.43,175,22
396,2024-04-17 05:30:00+05:30,37.41,576,86
397,2023-08-12 05:30:00+05:30,32.29,465,80
398,2020-06-29 05:30:00+05:30,64.45,992,33
399,2022-01-12 05:30:00+05:30,96.45,470,60
400,2021-01-19 05:30:00+05:30,30.52,151,21
401,2021-11-22 05:30:00+05:30,61.28,164,88
402,2020-12-22 05:30:00+05:30,76.05,849,57
403,2022-04-21 05:30:00+05:30,78.34,157,68
404,2021-11-18 05:30:00+05:30,96.52,864,2
405,2022-11-11 05:30:00+05:30,,651,56
406,2021-07-16 05:30:00+05:30,51.68,743,100
407,2020-05-10 05:30:00+05:30,40.25,732,90
408,2024-09-06 05:30:00+05:30,82.14,858,72
409,2020-01-24 05:30:00+05:30,88.7,42,13
410,2023-05-26 05:30:00+05:30,82.02,388,4
411,2020-09-09 05:30:00+05:30,45.91,235,95
412,2020-11-09 05:30:00+05:30,89.99,480,67
413,2021-06-18 05:30:00+05:30,2.83,898,24
414,2024-03-30 05:30:00+05:30,75.17,767,34
415,2021-07-14 05:30:00+05:30,,225,39
416,2023-07-11 05:30:00+05:30,88.76,980,81
417,2024-08-22 05:30:00+05:30,37.88,893,32
418,2023-11-07 05:30:00+05:30,,864,50
419,2023-07-13 05:30:00+05:30,46.3,101,92
420,2022-07-24 05:30:00+05:30,17.59,329,32
421,2022-07-25 05:30:00+05:30,89.46,275,89
422,2022-06-12 05:30:00+05:30,,264,73
423,2022-06-02 05:30:00+05:30,24.69,821,10
424,2021-09-30 05:30:00+05:30,83.89,794,100
425,2022-10-15 05:30:00+05:30,75.91,479,74
426,2023-04-15 05:30:00+05:30,67.95,5,83
427,2022-05-23 05:30:00+05:30,82.28,516,64
428,2021-02-18 05:30:00+05:30,,712,91
429,2021-01-27 05:30:00+05:30,3.47,174,4
430,2023-03-20 05:30:00+05:30,82.3,518,30
431,2023-12-04 05:30:00+05:30,54.76,507,93
432,2022-12-11 05:30:00+05:30,28.98,94,3
433,2024-01-03 05:30:00+05:30,89.45,566,22
434,2022-02-10 05:30:00+05:30,30.49,731,71
435,2021-04-23 05:30:00+05:30,,309,16
436,2023-03-31 05:30:00+05:30,22.76,529,75
437,2022-10-04 05:30:00+05:30,,405,64
438,2022-04-14 05:30:00+05:30,,583,90
439,2022-11-30 05:30:00+05:30,7.44,779,71
440,2022-07-03 05:30:00+05:30,86.9,809,77
441,2023-01-06 05:30:00+05:30,88.01,788,45
442,2022-11-11 05:30:00+05:30,78.07,85,4
443,2021-08-22 05:30:00+05:30,54.64,405,22
444,2020-09-28 05:30:00+05:30,,851,45
445,2021-06-15 05:30:00+05:30,64.76,950,5
446,2023-10-16 05:30:00+05:30,10.11,447,52
447,2023-06-06 05:30:00+05:30,26.99,24,76
448,2023-10-30 05:30:00+05:30,,532,77
449,2021-11-03 05:30:00+05:30,,877,21
450,2023-11-23 05:30:00+05:30,28.54,187,51
451,2021-09-26 05:30:00+05:30,86.62,786,86
452,2024-02-28 05:30:00+05:30,71.8,448,56
453,2023-12-18 05:30:00+05:30,4.07,794,8
454,2023-12-08 05:30:00+05:30,,618,42
455,2022-02-16 05:30:00+05:30,74.8,158,88
456,2020-09-22 05:30:00+05:30,72.51,676,11
457,2023-12-24 05:30:00+05:30,17.89,71,13
458,2022-10-02 05:30:00+05:30,32.87,513,42
459,2022-12-12 05:30:00+05:30,,412,74
460,2022-12-21 05:30:00+05:30,,65,82
461,2023-09-15 05:30:00+05:30,56.56,874,32
462,2024-08-26 05:30:00+05:30,,242,87
463,2023-10-14 05:30:00+05:30,77.38,515,8
464,2021-04-21 05:30:00+05:30,,558,49
465,2024-09-01 05:30:00+05:30,21.18,941,12
466,2023-01-18 05:30:00+05:30,21.57,742,32
467,2023-09-03 05:30:00+05:30,65.62,373,36
468,2024-08-20 05:30:00+05:30,12.12,869,96
469,2020-05-08 05:30:00+05:30,76.48,240,47
470,2020-07-29 05:30:00+05:30,52.39,886,91
471,2022-07-02 05:30:00+05:30,,760,40
472,2022-09-28 05:30:00+05:30,82.25,872,68
473,2023-09-30 05:30:00+05:30,19.24,483,39
474,2024-09-22 05:30:00+05:30,68.53,541,34
475,2022-01-01 05:30:00+05:30,38.53,626,59
476,2021-09-07 05:30:00+05:30,54.38,943,44
477,2020-10-13 05:30:00+05:30,,453,56
478,2023-01-03 05:30:00+05:30,68.57,138,70
479,2023-02-10 05:30:00+05:30,52.46,19,4
480,2023-07-18 05:30:00+05:30,,674,20
481,2021-01-21 05:30:00+05:30,89.06,888,24
482,2023-09-24 05:30:00+05:30,40.87,361,64
483,2024-04-22 05:30:00+05:30,99.82,120,72
484,2024-03-11 05:30:00+05:30,19.26,316,46
485,2022-02-20 05:30:00+05:30,80.91,187,72
486,2021-03-14 05:30:00+05:30,80.89,152,62
487,2024-08-26 05:30:00+05:30,56.98,741,87
488,2020-04-29 05:30:00+05:30,13.0,334,91
489,2023-12-27 05:30:00+05:30,49.27,190,98
490,2020-10-18 05:30:00+05:30,9.38,438,51
491,2023-08-09 05:30:00+05:30,95.54,506,19
492,2022-01-05 05:30:00+05:30,,67,83
493,2024-04-22 05:30:00+05:30,16.61,799,76
494,2022-01-20 05:30:00+05:30,6.3,258,99
495,2022-08-29 05:30:00+05:30,,360,2
496,2021-12-28 05:30:00+05:30,83.03,973,27
497,2022-12-28 05:30:00+05:30,58.02,131,74
498,2023-03-21 05:30:00+05:30,54.08,118,84
499,2021-12-16 05:30:00+05:30,,855,80
500,2023-05-25 05:30:00+05:30,,714,96
501,2022-11-19 05:30:00+05:30,,979,71
